filename,split,original,label
lpcwqrofbs.mp4,train,qvqjzwubwz.mp4,FAKE
tlgxqmqmlb.mp4,train,vkblckoyzb.mp4,FAKE
igibhnxmmr.mp4,train,wyaymhujdu.mp4,FAKE
khxfftrfdu.mp4,train,hzwegdkpck.mp4,FAKE
lfopaeaajl.mp4,train,,REAL
qzahasoupj.mp4,train,thvdoktlxs.mp4,FAKE
kzshxutfbg.mp4,train,ylicdnlwlj.mp4,FAKE
zbxpsuwzwr.mp4,train,dnfbyrzhcd.mp4,FAKE
erybgioyfo.mp4,train,hhrpdtqzxd.mp4,FAKE
ziqlpjibra.mp4,train,wkfjsqzatw.mp4,FAKE
exzzhzcvjo.mp4,train,vrqlrttwap.mp4,FAKE
mnnnhjgvmr.mp4,train,gdavsauheg.mp4,FAKE
kebxfgzmsj.mp4,train,hdunuumyxa.mp4,FAKE
qsbyimbwqa.mp4,train,qwmswserws.mp4,FAKE
vdhrnrrnhd.mp4,train,bxihocgdku.mp4,FAKE
eqqyjmmtkb.mp4,train,zocvwatcsf.mp4,FAKE
bodzohkepk.mp4,train,oitlkdosie.mp4,FAKE
xovueqgsvz.mp4,train,utzrzvhnbe.mp4,FAKE
zaaolvkyvv.mp4,train,ayffajxdql.mp4,FAKE
nnkchsorlr.mp4,train,vjnmgqnbkm.mp4,FAKE
rjshquskjw.mp4,train,zycjwyxruc.mp4,FAKE
ovrdqmifez.mp4,train,izjuqrgzvi.mp4,FAKE
fhaiimbhdg.mp4,train,zcnuyafslm.mp4,FAKE
aozrrvrbpa.mp4,train,vvuvjclthy.mp4,FAKE
ezhncxjtjw.mp4,train,,REAL
otawcvcmxt.mp4,train,dhgvvblxsu.mp4,FAKE
khozecxqni.mp4,train,lvfjgwkeds.mp4,FAKE
ryxczvahog.mp4,train,pipoqoslyo.mp4,FAKE
qottvtdiqy.mp4,train,qvqjzwubwz.mp4,FAKE
vecsopqwlg.mp4,train,sevxhibais.mp4,FAKE
dfrwroiwdl.mp4,train,msegqgxgbb.mp4,FAKE
jzhacwypqz.mp4,train,pxhzhjufts.mp4,FAKE
nkiojhmoxu.mp4,train,dzqirdgvts.mp4,FAKE
zifmjoryir.mp4,train,ujnoyvmfhj.mp4,FAKE
fodpdbzkpi.mp4,train,atrewimowk.mp4,FAKE
lqrkmodvrw.mp4,train,iezlgezozt.mp4,FAKE
wbxsjknxbe.mp4,train,oitlkdosie.mp4,FAKE
uetnqujivl.mp4,train,odcqqwiwzs.mp4,FAKE
maohudqexp.mp4,train,kravjwtlnt.mp4,FAKE
tybjnixgub.mp4,train,,REAL
stgwaadvip.mp4,train,kewoyefvnw.mp4,FAKE
mxfewopdlf.mp4,train,urloiqxdwi.mp4,FAKE
kuyfozlwvu.mp4,train,ssbljyptyd.mp4,FAKE
lnduwidebv.mp4,train,jebtnygbte.mp4,FAKE
lwthjrxgly.mp4,train,ldixdiuwoh.mp4,FAKE
